19;178;Kenya;Кения
;220;Kuwait;Кувейт
;216;Kyrgyzstan;Кыргызстан
;193;Laos;Лаос
;85;Latvja;Латвия
3911;147;Lebanon;Ливан
;215;Lesoto;Лесото
;212;"Libyan Arab Jamahiriya";Ливия
3500;308;Lichtenschtein;Лихтенштейн
22;136;Lithuania;Литва
5831;56;"Luxemburg ";Люксембург
26;79;Malta;Мальта
5764;152;Macedonia;Македония
2607;137;Madagascar;Мадагаскар
3225;207;Malavi;Малави
2599;69;Malaysia;Малайзия
24;73;"Maldives ";Мальдивы
3444;597;Mali;Мали
;169;Martinika;Мартиника
28;75;Mauritius;Маврикий
29;138;Mexico;Мексика
;101;"Moldova ";Молдова
;143;Monaco;Монако
;219;Mongolia;Монголия
8;117;Montenegro;Черногория
421;86;Morocco;Марокко
3247;180;Mozambique;Мозамбик
50;192;"Myanmar (Birma)";Мьянма(Бирма)
;538;Nigeria;Нигерия
2602;177;Namibia;Намибия
3028;156;Nepal;Непал
;43;Netherlands;Нидерланды
417;181;"New Zealand";"Новая Зеландия"
;200;Nicaragua;Никарагуа
;743;"North Korea";"Северная Корея"
;221;"Northern Mariana Islands";"Северные Марианские Острова"
2391;82;Norway;Норвегия
4534;94;Oman;Оман
;223;Pakistan;Пакистан
2500;182;Panama;Панама
;217;"Papua New Guinea";"Папуа Новая Гвинея"
;201;Paraguay;Парагвай
244;160;Peru;Перу
2603;74;Philippines;Филиппины
59;36;Poland;Польша
31;81;Portugal;Португалия
776;575;"Puerto Rico";Пуэрто-Рико
38441;115;Qatar;Катар
2501;653;Reunion;Реюньон
32;34;Romania;Румыния
3914;208;Ruanda;Руанда
39157;1;Russia;Россия
;123;SAR;"Южно-Африканская Республика"
;31;San-marino;Сан-Марино
;688;"Saudovskaya Araviya";"Саудовская Аравия"
64;598;Senegal;Сенегал
3414;118;"Serbia ";Сербия
2925;72;Seychelles;Сейшелы
;234;"Sierra Lione";Сьерра-Леоне
34;58;Singapore;Сингапур
61;78;Slovakia;Словакия
263;129;Slovenia;Словения
;594;"Solomon Islands";"Соломоновы о-ва"
415;162;"South Korea";"Южная Корея"
15;18;Spain;Испания
36;116;"Sri Lanka";Шри-Ланка
;150;"St Lucia";Сент-Люсия
;218;Sudan;Судан
38531;70;Surinam;Суринам
38464;214;Swaziland;Свазиленд
2991;128;Sweden;Швеция
62;71;"Switzerland ";Швейцария
;142;Syria;Сирия
;1033;Tajikistan;Таджикистан
;146;Tahiti;"Французская Полинезия"
38527;702;Taiwan;Тайвань
2989;179;Tansania;Танзания
49;12;Thailand;Таиланд
;190;"The Caribbean islands ";Карибы
;173;"Tirks and Kaikos";"Тёркс и Кайкос"
;649;Togo;Того
37863;556;"Trinidad and Tobago";"Тринидад и Тобаго"
38;15;Tunisia;Тунис
39;5;Turkey;Турция
;372;Turkmenistan;Туркменистан
;20;UAE;ОАЭ
3629;4;USA;США
3029;206;Uganda;Уганда
40;26;Ukraine;Украина
;202;Urugvay;Уругвай
3647;89;Uzbekistan;Узбекистан
;593;Vanuatu;Вануату
42;131;"Venezuela ";Венесуэла
3030;126;Vietnam;Вьетнам
;213;"Yemen Republic";Йемен
418;195;Zambia;Замбия
5822;153;Zimbabwe;Зимбабве
